Index,Type,Time,Desceiption
180,MSG,333865149,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
181,MSG,333865149,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
182,MSG,333865149,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
183,MSG,333865149,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 1920 251 576 320
184,MSG,333865149,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png 640 251 576 320
185,MSG,333865149,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png 1280 972 576 320
186,MSG,333865149,forcedchoice_start_0
187,MSG,333865107,target_position : right
188,MSG,333865105,delay_end
189,MSG,333864100,delay_start
190,MSG,333864100,!V CLEAR 0 0 0
191,MSG,333864100,memory_iti_end
192,MSG,333862090,memory_iti_start
193,MSG,333862090,forcedmemory_end_pic_3
194,MSG,333862090,!V CLEAR 0 0 0
195,MSG,333857090,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
196,MSG,333857090,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 1280 720 576 320
197,MSG,333857090,forcedmemory_start_pic_3
198,MSG,333857075,memory_iti_end
199,MSG,333855065,memory_iti_start
200,MSG,333855065,forcedmemory_end_pic_2
201,MSG,333855065,!V CLEAR 0 0 0
202,MSG,333850065,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
203,MSG,333850065,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png 1280 720 576 320
204,MSG,333850065,forcedmemory_start_pic_2
205,MSG,333850051,memory_iti_end
206,MSG,333848041,memory_iti_start
207,MSG,333848041,forcedmemory_end_pic_1
208,MSG,333848041,!V CLEAR 0 0 0
209,MSG,333843040,!V IAREA RECTANGLE 9 992 560 1568 880 memory_roi
